Type,Amount,WaitTimeNanos
Producer,57681,60556042
Consumer,28138,6320875
Consumer,94589,42
Producer,71188,60773333
Consumer,50178,6538875
Producer,60985,60765750
Consumer,59356,6504042
Consumer,24015,42
Producer,26588,60748750
Producer,34988,60739000
Consumer,86475,18597916
Producer,27856,60743041
Consumer,21661,41
Producer,78874,60754583
Consumer,12169,0
Producer,62652,61004209
Consumer,82811,6643292
Consumer,23226,84
Producer,71035,60989834
Producer,41599,61002959
Consumer,84725,6663625
Consumer,45462,83
Producer,88029,61015583
Consumer,81479,6670083
Producer,76627,61014166
Consumer,45899,6698167
Producer,47427,61067083
Consumer,63356,6735583
Producer,14708,61065125
Consumer,25978,167
Producer,54940,61062958
Consumer,82321,6725583
Producer,23172,61054667
Consumer,4400,42
Producer,1377,61247041
Consumer,10539,42
Producer,3543,61612875
Consumer,16101,84
Producer,38681,61606209
Consumer,38900,19544708
Producer,14942,61598209
Consumer,14422,41
Producer,94882,61810708
Consumer,50714,7171083
Consumer,37273,42
Producer,49080,61814209
Producer,32048,61789791
Consumer,28610,208
Producer,37532,61819750
Consumer,89804,14345666
Producer,97655,61816583
Consumer,80339,19322375
Producer,26813,61876417
Consumer,10146,0
Producer,13969,61973792
Consumer,53706,7093541
Producer,74083,61972959
Consumer,50234,7086708
Producer,79424,61961584
Consumer,37450,167
Producer,60173,61972334
Consumer,58154,7107542
Producer,85858,61973625
Consumer,37839,7079750
Producer,43183,61989084
Consumer,94902,19359541
Producer,11335,62006875
Consumer,34886,0
Producer,11253,62046833
Consumer,18487,42
Producer,38492,62234458
Consumer,53963,125
Producer,58953,62226084
Consumer,43659,0
Producer,88969,62403041
Consumer,85724,13142209
Producer,49911,62390250
Consumer,87783,12963500
Producer,4410,62385875
Consumer,1052,41
Producer,26028,62784375
Consumer,7233,83
Producer,50626,62999208
Consumer,45075,13518250
Producer,38424,62982625
Consumer,67905,7617000
Producer,63119,62978667
Consumer,38979,42
Producer,59974,63061791
Consumer,57665,0
Producer,86931,63120083
Consumer,88637,13016833
Producer,67021,63116833
Consumer,76999,125
Producer,21561,63143667
Consumer,5333,41
Producer,67147,63375584
Consumer,36166,83
Producer,50775,63411583
Consumer,80093,19745042
Consumer,16739,208
Producer,89371,63407708
Producer,88083,63405000
Consumer,76209,6926541
Consumer,89465,42
Producer,27067,63439791
Producer,80227,63425375
Consumer,85541,12833792
Producer,36515,63468792
Consumer,73578,12671416
Producer,94600,63473416
Consumer,79634,6847375
Producer,95099,63503500
Consumer,52589,83
Producer,41304,63506291
Consumer,1205,42
Consumer,79402,12212791
Producer,32742,63517375
Producer,98672,63513750
Consumer,98405,6557166
Producer,83564,63522916
Consumer,99924,6554167
Producer,82324,63541500
Consumer,71830,26330708
Producer,97555,63539250
Consumer,59821,6533875
Producer,14906,63529875
Consumer,73243,6534000
Producer,85360,63529084
Consumer,80823,6448459
Producer,67084,63525625
Consumer,63406,6450209
Producer,94140,63526083
Consumer,77060,6513041
Producer,83378,63592834
Consumer,66505,6510583
Producer,75738,63588958
Consumer,28246,6523792
Producer,20180,63618875
Consumer,31010,6505250
Producer,76654,63632916
Consumer,92682,6502209
Producer,81722,63635583
Consumer,72463,6486791
Producer,65126,63601833
Consumer,52741,6485708
Producer,74582,63594333
Consumer,98492,26677000
Producer,96156,63577375
Consumer,96961,12637625
Producer,27060,63595791
Consumer,94423,24250917
Producer,78669,63612792
Consumer,90209,12646750
Producer,58872,63630666
Consumer,62470,6352042
Producer,48158,63690167
Consumer,37603,84
Producer,94122,63972542
Consumer,85399,12819709
Producer,6667,63972667
Consumer,22517,0
Producer,99599,64127833
Consumer,4941,42
Consumer,85683,6690958
Producer,83541,64142834
Consumer,1955,0
Consumer,74811,20146000
Producer,4135,64135375
Producer,42778,64130000
Consumer,38153,0
Producer,58971,64225375
Consumer,52071,83
Producer,41249,64224750
Consumer,81688,42
Producer,17435,64243084
Consumer,6028,42
Producer,17833,64326834
Consumer,6950,83
Producer,72974,64377166
Consumer,65383,125
Consumer,9836,125
Producer,62540,64393708
Producer,81249,64383541
Consumer,58905,209
Consumer,44950,12524917
Consumer,58510,12467625
Producer,77106,64397666
Consumer,39685,42
Producer,19474,64380458
Producer,95908,64366042
Consumer,65913,209
Consumer,94886,5631459
Producer,60144,64357667
Producer,44592,64361167
Producer,91865,64346167
Consumer,45785,5552542
Consumer,26383,5516917
Consumer,62872,5499375
Producer,21468,64381375
Producer,5523,64364125
Producer,98621,64369958
Consumer,94390,5569791
Consumer,34506,5560667
Consumer,48428,5539041
Producer,87584,64356625
Producer,41587,64338083
Consumer,68624,25119833
Producer,94992,64328459
Consumer,28982,12566208
Consumer,34401,83
Producer,16443,64439583
Consumer,24432,5700125
Consumer,80744,83
Producer,77083,64436500
Producer,9391,64424625
Consumer,51821,5672666
Consumer,47727,250
Producer,97919,64433792
Producer,87981,64425875
Consumer,29849,5694833
Consumer,85110,5683833
Producer,89347,64441416
Consumer,75272,5653416
Producer,78119,64423458
Consumer,94418,20077167
Producer,68318,64463292
Consumer,86690,25526916
Producer,73723,64462584
Consumer,13433,5643916
Producer,72377,64450166
Consumer,98820,24793333
Producer,13010,64454292
Consumer,83329,5467792
Producer,55107,64447042
Consumer,2571,42
Producer,16774,65085416
Consumer,52122,125
Producer,26340,65093791
Consumer,54194,42
Producer,13928,65092625
Consumer,7247,0
Producer,63374,65325208
Consumer,56954,6156125
Producer,29514,65312208
Consumer,35678,42
Producer,92700,65419084
Consumer,28181,41
Consumer,58689,84
Producer,98519,65444583
Producer,31078,65430250
Consumer,69212,6300584
Producer,89144,65438958
Consumer,86236,13539250
Consumer,45174,208
Producer,26571,65438875
Producer,98260,65414625
Consumer,17544,167
Consumer,86605,19631208
Producer,63887,65473166
Producer,14654,65474625
Consumer,90638,6139125
Producer,33410,65489042
Consumer,76255,5948375
Producer,49417,65560041
Consumer,36886,83
Producer,33622,65940000
Consumer,36399,6311250
Producer,69488,65929834
Consumer,52689,83
Producer,63999,65972417
Consumer,22572,6350583
Producer,72583,65973750
Consumer,75435,13834166
