Type,Amount,WaitTimeNanos
Consumer,76151,83
Producer,60304,54251500
Consumer,67616,83
Producer,68988,54254542
Consumer,93106,84
Producer,61810,54280667
Consumer,57865,0
Producer,75944,54569083
Producer,13459,54556417
Consumer,9256,41
Consumer,14664,125
Consumer,35309,83
Consumer,40124,209
Producer,81820,54725916
Producer,2418,54716125
Consumer,32283,375
Producer,30526,54696834
Consumer,38124,167
Producer,37964,54764292
Consumer,42623,166
Consumer,94600,125
Producer,11744,54784125
Producer,8150,54773042
Consumer,41774,125
Producer,94113,54725167
Producer,96287,54740708
Consumer,98379,83
Producer,24508,54724667
Consumer,39609,459
Producer,85896,54747625
Consumer,997,292
Consumer,9832,667
Consumer,61312,84
Producer,50446,55035833
Consumer,2512,584
Consumer,92947,292
Producer,90318,55092250
Consumer,57740,209
Producer,73081,55195042
Consumer,19222,167
Producer,57935,55225541
Consumer,39891,167
Consumer,38540,83
Consumer,25300,375
Producer,98543,55380625
Consumer,43536,250
Producer,45982,55476625
Consumer,19698,500
Consumer,7426,292
Consumer,44313,42
Consumer,21951,125
Producer,77820,55584917
Consumer,95273,42
Producer,40446,55606458
Producer,69657,55598334
Consumer,21506,84
Consumer,54086,42
Producer,62354,55733750
Consumer,69059,83
Producer,19835,55740541
Producer,22626,55739209
Consumer,57395,42
Producer,74136,55919333
Producer,20075,55896750
Consumer,80436,83
Producer,64655,55888875
Consumer,41825,209
Producer,66453,55984959
Consumer,76549,125
Producer,70876,55978958
Consumer,79905,417
Producer,35755,55981291
Producer,32186,55960583
Consumer,38098,292
Consumer,51451,125
Producer,84348,56086333
Producer,8847,56075500
Consumer,86782,167
Producer,56558,56086291
Consumer,32347,42
Producer,68513,56088125
Consumer,81598,84
Producer,54781,56066916
Consumer,80610,41
Producer,37486,56087083
Producer,12333,56071042
Producer,55302,56053000
Consumer,31809,333
Producer,4389,56035666
Producer,20778,56018791
Consumer,4660,291
Consumer,30539,83
Consumer,77579,42
Producer,81388,56060667
Producer,13312,56046833
Consumer,78837,208
Producer,19182,56029875
Producer,18437,56015916
Consumer,26167,292
Producer,80452,56033792
Producer,17991,56032083
Consumer,31008,292
Consumer,57269,42
Producer,47192,56392416
Producer,16845,56371750
Consumer,62712,84
Producer,59320,56476083
Consumer,63926,42
Producer,47157,56494667
Producer,20186,56480000
Producer,2266,56461667
Consumer,66092,459
Producer,66395,56461750
Producer,23463,56453541
Consumer,78663,250
Consumer,66135,334
Producer,53072,56599458
Producer,69350,56586125
Consumer,53988,417
Producer,52543,56606500
Consumer,42740,167
Consumer,64827,83
Producer,97613,56729833
Consumer,29159,125
Consumer,53161,167
Producer,76185,56788083
Consumer,43374,41
Producer,49045,56973334
Consumer,986,83
Consumer,30923,42
Consumer,98611,42
Producer,97625,57073958
Producer,42267,57059625
Consumer,49920,84
Producer,17841,57037833
Producer,21777,57012042
Consumer,16222,458
Consumer,88630,333
Producer,76556,57222458
Consumer,57774,125
Consumer,27945,167
Producer,91073,57280042
Consumer,39943,166
Producer,82406,57290708
Consumer,61456,0
Producer,54117,57436542
Consumer,43382,42
Producer,29896,57454375
Consumer,97703,41
Producer,62486,57461542
Producer,62552,57449584
Consumer,25599,125
Consumer,30378,41
Producer,60155,57593625
Consumer,218,42
Consumer,74819,41
Producer,67753,57694625
Consumer,50960,42
Producer,53800,57701584
Consumer,48837,125
Consumer,61966,167
Producer,83478,57885167
Consumer,15475,83
Producer,42406,57897500
Consumer,36841,458
Consumer,23695,125
Producer,15165,57895792
Consumer,92409,167
Producer,77267,57917667
Producer,1568,57908333
Consumer,85304,83
Producer,11297,57879500
Producer,2151,57866417
Producer,37216,57833792
Producer,70298,57847042
Producer,17176,57834292
Producer,12262,57824792
Consumer,74260,0
Producer,14765,57970250
Producer,42152,57953167
Consumer,91121,83
Producer,54258,57979083
Producer,29737,57964000
Consumer,48256,83
Producer,35020,58028333
Consumer,4622,42
Consumer,13811,84
Consumer,97863,42
Producer,96901,58169958
Consumer,95162,34042
